train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,train_auroc,val_auroc,train_lr
0.71058863,0.69426924,0.5786939,0.453125,0.56035674,0.62329775,0.579527,0.5,0.100003295
0.6471397,0.65223444,0.6096249,0.60245436,0.591456,0.54730225,0.61080235,0.6021266,0.100003295
0.6335906,0.6535288,0.6260402,0.59361917,0.6071228,0.6523962,0.6274666,0.59404147,0.100003295
0.62739545,0.6268733,0.6322079,0.6305056,0.61258066,0.6369789,0.6337263,0.63064915,0.100003295
0.623626,0.6218806,0.6363617,0.6415882,0.61686164,0.5969929,0.63794863,0.64139754,0.100003295
0.6209332,0.61946005,0.6393324,0.63960236,0.6194455,0.62719405,0.64093834,0.6396712,0.100003295
0.6186584,0.6168374,0.64167476,0.64443016,0.6215584,0.6058729,0.64333385,0.6443518,0.100003295
0.61688626,0.61820644,0.64376235,0.64544094,0.623497,0.57554203,0.645438,0.64522624,0.100003295
0.615378,0.6142035,0.64537156,0.64443016,0.6249149,0.6211249,0.6470779,0.6443792,0.100003295
0.6137164,0.6152567,0.64648557,0.6401018,0.6253513,0.6382805,0.6482833,0.64020294,0.100003295
0.60573626,0.6125666,0.6536482,0.64463234,0.63180244,0.6321,0.6556694,0.6446682,0.0100001525
0.6045347,0.6066466,0.6549717,0.6451912,0.6323873,0.65211743,0.657063,0.6453515,0.0100001525
0.6039825,0.6065594,0.6554121,0.6444421,0.63258916,0.6532276,0.6575485,0.64458716,0.0100001525
0.6035155,0.6063612,0.6556906,0.6445253,0.63275975,0.65362614,0.65783393,0.64470446,0.0100001525
0.60308903,0.6064391,0.65628093,0.64485824,0.633223,0.65551555,0.6584118,0.6450183,0.0100001525
0.602683,0.6068512,0.65645236,0.64339566,0.6332767,0.6570059,0.6585878,0.6435814,0.0100001525
0.6023114,0.60665333,0.65692127,0.6437167,0.6336634,0.6573256,0.6590552,0.64388514,0.0100001525
0.60196537,0.6068229,0.6572569,0.6430865,0.63387805,0.6579551,0.6594056,0.6432451,0.0100001525
0.60162634,0.60678816,0.6575616,0.64301515,0.6340451,0.65842104,0.6597345,0.6432013,0.0100001525
0.60130024,0.6069847,0.6578472,0.64249194,0.6342203,0.6587618,0.66003895,0.64271235,0.0100001525
0.5994016,0.60708386,0.65949214,0.6423373,0.6353227,0.6589361,0.661725,0.64256537,0.0009999832
0.5992392,0.5997648,0.65983963,0.6585569,0.6363703,0.6306984,0.6620788,0.6584502,0.0009999832
0.599159,0.5997189,0.6599539,0.6587709,0.6364965,0.63087344,0.66218853,0.65865713,0.0009999832
0.59909236,0.59968954,0.6600634,0.65872335,0.6365897,0.6311738,0.6622953,0.6586368,0.0009999832
0.5990301,0.5996533,0.66015863,0.65884227,0.6366726,0.6307118,0.6623855,0.6587319,0.0009999832
0.5989715,0.59962845,0.660211,0.6585688,0.63671166,0.631464,0.6624346,0.6584732,0.0009999832
0.59891665,0.59959877,0.66024435,0.65872335,0.6367557,0.6311836,0.66246593,0.65860987,0.0009999832
0.59886444,0.5995758,0.6602705,0.6586877,0.63675445,0.63134426,0.662495,0.65858155,0.0009999832
0.5988107,0.5995518,0.66031337,0.6586877,0.6368333,0.63148975,0.662542,0.6585842,0.0009999832
0.5987588,0.59953654,0.6604419,0.6587947,0.6369608,0.6313414,0.66266805,0.6586898,0.0009999832
0.59849495,0.59951997,0.66037047,0.65884227,0.63743806,0.6320486,0.662627,0.65875447,9.999797e-05
0.5984675,0.6000487,0.66062754,0.65858066,0.6370259,0.6266152,0.6628641,0.6584166,9.999797e-05
0.59845805,0.6000248,0.660649,0.6585569,0.6370033,0.6265857,0.6628909,0.6583816,9.999797e-05
0.59845066,0.60000443,0.66063946,0.65878284,0.63700026,0.62678885,0.6628858,0.6586202,9.999797e-05
0.5984438,0.60000074,0.66067517,0.65878284,0.6370426,0.6267591,0.66292304,0.6586193,9.999797e-05
0.5984378,0.5999924,0.66071326,0.65888983,0.6370849,0.62691694,0.662963,0.65872025,9.999797e-05
0.5984319,0.59998924,0.66071564,0.65887797,0.63708645,0.6268984,0.66296804,0.65870225,9.999797e-05
0.5984257,0.5999858,0.6607466,0.6588185,0.63711786,0.627009,0.662996,0.65863353,9.999797e-05
0.59842026,0.5999858,0.6607537,0.6589731,0.63712215,0.62691253,0.66300315,0.65879905,9.999797e-05
0.5984135,0.59998053,0.66074896,0.6589374,0.6371186,0.6269959,0.6629989,0.6587512,9.999797e-05
